"","Lost Mound","High Mesa","Big Pot","Bayless Ruin","Twin Hawks","AZ U:4:009 (ASM)","AZ U:8:589 (ASM)","AZ V:5:125 (ASM)","Bass Point Mound","Griffen Wash Complex","Indian Point Complex","Las Tortugas","Los Hermanos","Meddler Point Mound","Pinto Point Mound","Pyramid Point Complex","Schoolhouse Point Mesa Complex","Lovelady Ranch","AZ W:11:7","WS Ranch","Largo Canyon","Foote Canyon Pueblo","AZ W:8:4","Blue PO Site","AZ W:8:9","LA 5939","LA 9777","LA 105878","LA 105880","Slade","Greenwood","Danson Pueblo","Hooper Ranch Pueblo","Apache Creek Pueblo","LA 3274","LA 4987","LA 4989","Pueblo Carrejo","LA 6063","LA 8090","Higgins Flat","Hudson Ranch","LA 83287","LA 85442","3-Up","Babocomari Village","Aztec","Maddox Ranch","Animas River Ruin","Holmes Group","Flora Vista","Red Willow II","Lizard House","LA 6679","LA 6705","LA 6725","LA 6729","Skunk Springs","LA 7067","LA 7068","LA 7075","LA 7095","LA 7138","LA 7189","LA 7192","LA 7200","LA 7290","LA 7318","LA 7343","LA 7417","LA 7433","LA 7434","LA 7465","LA 7475","LA 7501","LA 7502","LA 7526","LA 7538","LA 7582","LA 7584","LA 7591","LA 7624","LA 7641","LA 7690","LA 7704","LA 7753","LA 7778","LA 7781","LA 7787","LA 7935","LA 7938","LA 7973","LA 8200","LA 8204","LA 8433","LA 8458","LA 8477","LA 8500","LA 8519","LA 8549","Shannon Bluff-Point","Fruitland Pueblo","Salmon II","LA 12758","West Water","LA 13114","LA 20266","LA 50078","LA 52606","Kello Blancett","LA 60009","LA 60020","Morris' Old Fort","LA 100068","LA 100069","LA 100082","Awat'ovi","Heshoda Yala:wa","Techado Spring","Jaralosa","Horse Camp Mill","Hinkson Ranch","Eagle Crag","Wide Reed Ruin","Hogay Ruin","Kinlichee","Cornfields","Dinwiddie","Lululongturqi","Abangkuyivi","Hubble Corner","Owens-Colvin","Rocky Point","Schoolhouse Point Mound","Roundy Ruin","Bean Patch","Garcia Ranch","Carter Ranch Pueblo","Broken K Pueblo","Hardscrabble Ruin","Houghton Site","Seven Springs","Malpais Spring","Chezhinchotah","Scribe S","Lower Deracho","Box S","LA 15560","LA 47563","Los Gigantes","Spier 81","LA 109857","LA 109993","Citadel/Nalakihu","Wupatki","Crack-in-Rock","Many Farms","Lukachukai GH","Antelope House","White House II","Salina Springs II","Boss Ranch","Old Caves","Elden Pueblo","Burned Pueblo","Turkey Hill Pueblo","Ridge Ruin","Tachini Point","Inscription House","Tower House","Batwoman House","Twin Caves Pueblo","Red House","NA 4157","Kinlani","Olla House","Double Wall Ruin","NA 5628","Hummingbird House","NA 8816","NA 8820","NA 8886","NA 8895","Organ Rock","Pueblo Grande","Burnt Corn GH","Pinon Ruin","AZ E:6:1","Ford House","Montezuma Well (E.Rim)","Montezuma Castle A & B","Honanki","Piglet","Zanardelli Site","Gibbon  Springs","Fitzmaurice Ruin","University Indian Ruins","Pueblo Blanco","Sunset Mesa","Pueblo Salado","White Rincon","Jackrabbit","Casa Grande","Las Colinas","Whiptail Ruin","Tanque Verde Village","Brady Wash","Mendoza Canyon","Escalante","Las Acequias","Dakota Wash","Hodges Ruin","Romero Ruin","Los Morteros","Casa Buena","Kuykendall","Curtis Ruin(Buena Vista)","Drip","Twin Towers","North Mesa","Juniper Terrace","Cosnino Caves","Two Kivas","Atsee Nitsaa","Tuzigoot","Roosevelt 9:13","Earven Flat Site","Danson 481","Rabid Ruin","San Xavier Bridge","Continental Site","Cerro Prieto--Santa Cruz","Omawovi","Paaqapa","LA 76368","LA 7085","LA 7791","LA 8532","Yuma Wash--Tucson","CS165","CS195","LZ1232","LZ1245","LZ1301","LZ1302","LZ1305","South Ruin","LZ1307","LZ1310","LA 47515","LA 47562","FSOP13","FSOP15","LA 15623","LA 15667","LA 15669","LA 15671","LA 15673","AZ Q:4:58 (ASM)","Forestdale Pueblo","Garden Canyon","Rillito Fan","LA 82683","LA 82762","LA 85954","LA 85796","LA 85989","LA 86013","LA 86027","LA 86037","LA 86054","LA 82726","LA 82740","LA 82741","LA 82693","LA 82747","LA 82763","LA 85977","LA 86042"
"Turkey Hill Pueblo","0.013","0.013","0.013","0.013","0.013","0.086","0.044","0.013","0.113","0.077","0.151","0.253","0.077","0.179","0.088","0.028","0.138","0.044","0.044","0.044","0.044","0.044","0.044","0.044","0.044","0.044","0.044","0.044","0.044","0.044","0.044","0.044","0.044","0.044","0.044","0.044","0.044","0.013","0.044","0.034","0.038","0.044","0.044","0.013","0.044","0","0.084","0.031","0.031","0.025","0.031","0.031","0.008","0.036","0.01","0.033","0.052","0.053","0.071","0.074","0","0.133","0.087","0.062","0.13","0","0.029","0","0.099","0","0.019","0.077","0.036","0.027","0.029","0","0","0.034","0.031","0","0.045","0","0.021","0.087","0","0.031","0.031","0.045","0","0","0.082","0","0.143","0","0.031","0.021","0.06","0.048","0.044","0.087","0.029","0","0.011","0.031","0","0","0.002","0","0.031","0.008","0.087","0.065","0.036","0.057","0.013","0","0.722","0.044","0.05","0.044","0.044","0.044","0.825","0.105","0.811","0.372","0.22","0","0.87","0.58","0.044","0.044","0.121","0.114","0.064","0.044","0.044","0.044","0.044","0.044","0.069","0.044","0.556","0.46","0.044","0.044","0.044","0.044","0.044","0.044","0.044","0.044","0.044","0.381","0.855","0.953","0.66","0.397","0.239","0.518","0.748","0.044","0.922","0.795","0","1","0.795","0.449","0.638","0.183","0.667","0.51","0.785","0.287","0.667","0.527","0.677","0.667","0.667","0.421","0.515","0.405","0.628","0.123","0","0.256","0.645","0.58","0.313","0.485","0.403","0.858","0.335","0","0.001","0.034","0","0","0","0.007","0.004","0","0","0.127","0.003","0","0.007","0","0","0","0","0","0","0.001","0","0.008","0.044","0","0.066","0.823","0.952","0.76","0.783","0.031","0.548","0.26","0.027","0.044","0","0","0.001","0","0.63","0.667","0.044","0.027","0","0.031","0.002","0.044","0.044","0.044","0.044","0.044","0.044","0.044","0.044","0.044","0.044","0.031","0.044","0.044","0.044","0.044","0.044","0.044","0.044","0.044","0.044","0.055","0","0","0.044","0.044","0.044","0.044","0.044","0.044","0.044","0.044","0.044","0.044","0.044","0.044","0.044","0.044","0.044","0.044","0.044"
"Ridge Ruin","0","0","0","0","0","0.073","0","0","0.069","0.034","0.111","0.24","0.064","0.152","0.044","0","0.106","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.04","0","0","0","0","0","0","0.036","0","0","0.04","0.009","0.051","0.051","0","0.118","0.051","0.062","0.051","0","0.017","0","0.051","0","0","0.077","0.018","0.027","0","0","0","0","0","0","0.045","0","0","0.051","0","0","0","0.045","0","0","0.051","0","0.143","0","0","0","0.016","0.017","0","0.051","0","0","0.002","0","0","0","0","0","0","0","0.051","0.034","0","0.013","0","0","0.561","0","0.006","0","0","0","0.926","0.061","0.642","0.341","0.177","0","0.819","0.454","0","0","0.077","0.079","0.043","0","0.001","0","0","0","0.025","0","0.725","0.665","0","0","0","0","0","0","0","0","0","0.381","0.727","0.837","0.544","0.329","0.169","0.439","0.618","0","0.761","0.972","0","0.795","1","0.411","0.506","0.147","0.506","0.475","0.706","0.252","0.506","0.491","0.506","0.506","0.506","0.385","0.48","0.369","0.506","0.088","0","0.221","0.506","0.454","0.277","0.654","0.595","0.724","0.527","0","0","0.033","0","0","0","0.007","0","0","0","0.09","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.041","0.954","0.804","0.567","0.93","0","0.691","0.216","0","0","0","0","0","0","0.504","0.506","0","0.014","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.011","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Tachini Point","0.001","0.001","0.001","0.001","0.001","0.001","0.002","0.001","0.002","0.002","0.002","0.009","0.001","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.001","0.002","0.002","0.002","0.002","0.002","0.001","0.002","0","0.045","0.001","0.003","0.005","0.003","0.003","0.004","0.038","0.004","0.005","0.044","0.014","0.074","0.054","0.002","0.043","0.098","0.002","0.181","0.002","0.02","0.002","0.146","0.002","0.003","0.079","0.021","0.029","0.003","0.002","0.002","0.005","0.003","0.002","0.048","0.002","0.003","0.169","0.002","0.003","0.003","0.048","0","0.002","0.055","0.002","0.145","0.002","0.003","0.003","0.021","0.003","0.005","0.19","0.003","0.002","0.006","0.003","0.002","0.002","0.003","0.002","0.003","0.003","0.06","0.037","0.005","0.018","0.004","0.002","0.612","0.002","0.003","0.002","0.002","0.002","0.39","0.06","0.4","0.302","0.09","0","0.36","0.36","0.002","0.002","0.006","0.004","0.004","0.002","0.003","0.002","0.003","0.002","0.023","0.002","0.232","0.171","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.166","0.393","0.451","0.616","0.916","0.269","0.401","0.699","0.002","0.466","0.393","0","0.449","0.411","1","0.809","0.731","0.778","0.925","0.575","0.817","0.515","0.92","0.739","0.731","0.667","0.969","0.925","0.953","0.818","0.672","0","0.428","0.425","0.36","0.779","0.216","0.114","0.481","0.034","0","0.001","0.024","0","0","0","0","0.001","0","0","0.122","0.002","0","0.001","0","0","0","0","0","0","0.001","0","0.001","0.002","0","0.046","0.393","0.484","0.476","0.422","0.001","0.254","0.002","0.002","0.002","0","0","0.001","0","0.409","0.52","0.002","0.018","0.002","0.003","0.001","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.001","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.01","0","0","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002"
"Inscription House","0","0","0","0","0","0","0","0","0","0","0","0.008","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.04","0","0","0","0","0","0","0.036","0","0","0.04","0.009","0.071","0.051","0","0.04","0.095","0","0.177","0","0.017","0","0.143","0","0","0.077","0.018","0.027","0","0","0","0","0","0","0.045","0","0","0.167","0","0","0","0.045","0","0","0.051","0","0.143","0","0","0","0.016","0","0","0.188","0","0","0.002","0","0","0","0","0","0","0","0.056","0.034","0","0.013","0","0","0.804","0","0.001","0","0","0","0.492","0.055","0.586","0.301","0.088","0","0.551","0.551","0","0","0.004","0.001","0.001","0","0.001","0","0","0","0.021","0","0.23","0.171","0","0","0","0","0","0","0","0","0","0.166","0.583","0.642","0.778","0.727","0.265","0.397","0.866","0","0.657","0.478","0","0.638","0.506","0.809","1","0.545","0.969","0.872","0.664","0.649","0.707","0.889","0.928","0.922","0.859","0.783","0.878","0.767","0.99","0.485","0","0.428","0.616","0.551","0.675","0.217","0.114","0.672","0.033","0","0","0.023","0","0","0","0","0","0","0","0.12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.041","0.534","0.675","0.666","0.473","0","0.252","0","0","0","0","0","0","0","0.601","0.711","0","0.014","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.008","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Tower House","0","0","0","0","0","0","0","0","0","0","0","0.008","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.04","0","0","0","0","0","0","0.036","0","0","0.04","0.009","0.071","0.051","0","0.039","0.095","0","0.176","0","0.017","0","0.143","0","0","0.077","0.018","0.027","0","0","0","0","0","0","0.045","0","0","0.167","0","0","0","0.045","0","0","0.051","0","0.096","0","0","0","0.016","0","0","0.188","0","0","0.002","0","0","0","0","0","0","0","0.056","0.034","0","0.013","0","0","0.349","0","0.001","0","0","0","0.124","0.055","0.131","0.096","0.087","0","0.096","0.096","0","0","0.003","0.001","0.001","0","0.001","0","0","0","0.021","0","0.119","0.096","0","0","0","0","0","0","0","0","0","0.107","0.128","0.187","0.351","0.777","0.265","0.206","0.434","0","0.202","0.128","0","0.183","0.147","0.731","0.545","1","0.514","0.662","0.308","0.71","0.252","0.656","0.473","0.467","0.404","0.762","0.659","0.778","0.554","0.941","0","0.354","0.161","0.096","0.647","0.204","0.114","0.217","0.033","0","0","0.023","0","0","0","0","0","0","0","0.12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.041","0.129","0.22","0.211","0.155","0","0.147","0","0","0","0","0","0","0","0.146","0.256","0","0.014","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.008","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Batwoman House","0","0","0","0","0","0","0","0","0","0","0","0.008","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.04","0","0","0","0","0","0","0.036","0","0","0.04","0.009","0.071","0.051","0","0.039","0.095","0","0.176","0","0.017","0","0.143","0","0","0.077","0.018","0.027","0","0","0","0","0","0","0.045","0","0","0.167","0","0","0","0.045","0","0","0.051","0","0.143","0","0","0","0.016","0","0","0.188","0","0","0.002","0","0","0","0","0","0","0","0.056","0.034","0","0.013","0","0","0.834","0","0.001","0","0","0","0.492","0.055","0.617","0.301","0.087","0","0.581","0.581","0","0","0.003","0.001","0.001","0","0.001","0","0","0","0.021","0","0.23","0.171","0","0","0","0","0","0","0","0","0","0.166","0.613","0.668","0.777","0.696","0.265","0.397","0.866","0","0.688","0.478","0","0.667","0.506","0.778","0.969","0.514","1","0.842","0.664","0.619","0.737","0.858","0.959","0.952","0.889","0.752","0.847","0.736","0.96","0.455","0","0.428","0.646","0.581","0.645","0.216","0.114","0.673","0.033","0","0","0.023","0","0","0","0","0","0","0","0.12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.041","0.534","0.7","0.697","0.473","0","0.252","0","0","0","0","0","0","0","0.631","0.742","0","0.014","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.008","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Twin Caves Pueblo","0","0","0","0","0","0","0","0","0","0","0","0.008","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.04","0","0","0","0","0","0","0.036","0","0","0.04","0.009","0.071","0.051","0","0.039","0.106","0","0.176","0","0.017","0","0.143","0","0","0.077","0.018","0.027","0","0","0","0","0","0","0.045","0","0","0.167","0","0","0","0.045","0","0","0.051","0","0.143","0","0","0","0.016","0","0","0.188","0","0","0.002","0","0","0","0","0","0","0","0.056","0.034","0","0.013","0","0","0.676","0","0.001","0","0","0","0.452","0.055","0.459","0.301","0.087","0","0.423","0.434","0","0","0.003","0.001","0.001","0","0.001","0","0","0","0.021","0","0.23","0.171","0","0","0","0","0","0","0","0","0","0.166","0.456","0.515","0.678","0.843","0.265","0.397","0.762","0","0.53","0.455","0.011","0.51","0.475","0.925","0.872","0.662","0.842","1","0.636","0.766","0.579","0.983","0.801","0.794","0.731","0.9","0.987","0.884","0.882","0.602","0","0.438","0.488","0.423","0.777","0.216","0.114","0.544","0.033","0","0","0.023","0","0","0","0","0","0","0","0.12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.041","0.457","0.548","0.539","0.484","0","0.252","0","0","0","0","0","0","0","0.473","0.584","0","0.014","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.008","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Red House","0.05","0.05","0.05","0.05","0.05","0.122","0.09","0.05","0.181","0.14","0.188","0.261","0.114","0.216","0.143","0.065","0.175","0.112","0.133","0.133","0.126","0.133","0.133","0.133","0.133","0.133","0.115","0.12","0.093","0.133","0.133","0.133","0.133","0.1","0.133","0.083","0.133","0.05","0.105","0.071","0.075","0.133","0.133","0.05","0.133","0","0.145","0.083","0.04","0.062","0.063","0.083","0.008","0.036","0.01","0.033","0.052","0.142","0.071","0.074","0","0.133","0.095","0.062","0.309","0","0.033","0","0.192","0","0.019","0.077","0.036","0.027","0.029","0","0","0.042","0.045","0","0.045","0","0.021","0.167","0","0.074","0.034","0.045","0","0","0.121","0","0.143","0","0.06","0.021","0.117","0.061","0.1","0.188","0.029","0","0.011","0.083","0","0","0.002","0","0.083","0.008","0.099","0.117","0.073","0.108","0.05","0","0.719","0.133","0.139","0.133","0.133","0.133","0.747","0.194","0.77","0.424","0.309","0","0.655","0.451","0.133","0.093","0.21","0.151","0.1","0.133","0.133","0.116","0.133","0.133","0.158","0.133","0.523","0.374","0.133","0.133","0.133","0.133","0.133","0.133","0.133","0.133","0.133","0.37","0.689","0.746","0.752","0.531","0.415","0.631","0.798","0.133","0.761","0.709","0","0.785","0.706","0.575","0.664","0.308","0.664","0.636","1","0.413","0.607","0.652","0.674","0.664","0.664","0.546","0.641","0.53","0.664","0.249","0","0.382","0.516","0.451","0.439","0.42","0.318","0.776","0.286","0","0.001","0.034","0","0","0","0.007","0.004","0","0","0.127","0.003","0","0.007","0","0","0","0","0","0","0.001","0","0.008","0.133","0","0.066","0.688","0.779","0.688","0.698","0.083","0.462","0.299","0.064","0.133","0","0","0.001","0","0.501","0.611","0.133","0.064","0","0.083","0.002","0.133","0.133","0.133","0.133","0.133","0.133","0.133","0.133","0.133","0.133","0.083","0.133","0.133","0.133","0.133","0.133","0.133","0.133","0.133","0.133","0.118","0","0","0.133","0.133","0.133","0.133","0.133","0.133","0.133","0.133","0.133","0.133","0.133","0.133","0.133","0.133","0.133","0.133","0.133"
"NA 4157","0","0","0","0","0","0","0","0","0","0","0","0.008","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.226","0","0.186","0.186","0.186","0.186","0.186","0.156","0.186","0.186","0.226","0.084","0.257","0.237","0.186","0.22","0.281","0.125","0.362","0.186","0.202","0.186","0.328","0.186","0.186","0.262","0.203","0.213","0.186","0.186","0.186","0.186","0.186","0.167","0.136","0.186","0.186","0.333","0.186","0.186","0.186","0.231","0","0.186","0.237","0.186","0.286","0.186","0.186","0.186","0.202","0.186","0.186","0.25","0.186","0.186","0.188","0.186","0.186","0.186","0.186","0.186","0.186","0.186","0.242","0.219","0.186","0.199","0.013","0.186","0.453","0","0.001","0","0","0","0.229","0.106","0.241","0.2","0.087","0","0.2","0.2","0","0","0.003","0.001","0.001","0","0.001","0","0","0","0.021","0","0.224","0.171","0","0","0","0","0","0","0","0","0","0.166","0.232","0.292","0.456","0.814","0.45","0.497","0.539","0","0.307","0.232","0","0.287","0.252","0.817","0.649","0.71","0.619","0.766","0.413","1","0.356","0.761","0.578","0.571","0.508","0.814","0.772","0.814","0.659","0.65","0","0.428","0.265","0.2","0.937","0.216","0.114","0.321","0.033","0","0","0.023","0","0","0","0","0","0","0","0.12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.227","0.234","0.325","0.316","0.26","0","0.251","0","0","0","0","0","0","0","0.25","0.361","0","0.2","0.186","0.101","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.008","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Kinlani","0","0","0","0","0","0","0","0","0","0","0","0.008","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.04","0","0","0","0","0","0","0.036","0","0","0.04","0.009","0.071","0.051","0","0.039","0.095","0","0.156","0","0.017","0","0.143","0","0","0.077","0.018","0.027","0","0","0","0","0","0","0.045","0","0","0.156","0","0","0","0.045","0","0","0.051","0","0.143","0","0","0","0.016","0","0","0.156","0","0","0.002","0","0","0","0","0","0","0","0.056","0.034","0","0.013","0","0","0.847","0","0.001","0","0","0","0.492","0.055","0.669","0.301","0.087","0","0.635","0.591","0","0","0.003","0.001","0.001","0","0.001","0","0","0","0.021","0","0.23","0.171","0","0","0","0","0","0","0","0","0","0.166","0.757","0.668","0.678","0.433","0.209","0.397","0.683","0","0.712","0.478","0","0.667","0.506","0.515","0.707","0.252","0.737","0.579","0.607","0.356","1","0.596","0.768","0.785","0.848","0.49","0.584","0.474","0.697","0.192","0","0.325","0.909","0.844","0.382","0.216","0.114","0.673","0.033","0","0","0.023","0","0","0","0","0","0","0","0.12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.041","0.534","0.7","0.878","0.473","0","0.252","0","0","0","0","0","0","0","0.894","0.995","0","0.014","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.008","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Olla House","0","0","0","0","0","0","0","0","0","0","0","0.008","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.04","0","0","0","0","0","0","0.036","0","0","0.04","0.009","0.071","0.051","0","0.039","0.095","0","0.176","0","0.017","0","0.143","0","0","0.077","0.018","0.027","0","0","0","0","0","0","0.045","0","0","0.167","0","0","0","0.045","0","0","0.051","0","0.143","0","0","0","0.016","0","0","0.188","0","0","0.002","0","0","0","0","0","0","0","0.056","0.034","0","0.013","0","0","0.693","0","0.001","0","0","0","0.468","0.055","0.475","0.301","0.087","0","0.44","0.44","0","0","0.003","0.001","0.001","0","0.001","0","0","0","0.021","0","0.23","0.171","0","0","0","0","0","0","0","0","0","0.166","0.472","0.531","0.695","0.838","0.265","0.397","0.778","0","0.546","0.472","0","0.527","0.491","0.92","0.889","0.656","0.858","0.983","0.652","0.761","0.596","1","0.817","0.811","0.748","0.894","0.989","0.878","0.898","0.597","0","0.428","0.505","0.44","0.777","0.216","0.114","0.561","0.033","0","0","0.023","0","0","0","0","0","0","0","0.12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.041","0.473","0.564","0.555","0.473","0","0.252","0","0","0","0","0","0","0","0.49","0.6","0","0.014","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.008","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Double Wall Ruin","0.011","0.011","0.011","0.011","0.011","0.011","0.011","0.011","0.011","0.011","0.011","0.019","0.011","0.011","0.011","0.011","0.011","0.011","0.011","0.011","0.011","0.011","0.011","0.011","0.011","0.011","0.011","0.011","0.011","0.011","0.011","0.011","0.011","0.011","0.011","0.011","0.011","0.011","0.011","0.011","0.011","0.011","0.011","0.011","0.011","0","0.051","0","0","0.011","0","0","0.008","0.036","0.01","0.008","0.04","0.02","0.071","0.051","0","0.039","0.095","0","0.187","0","0.027","0","0.153","0","0","0.077","0.018","0.027","0","0","0","0.011","0","0","0.045","0","0","0.167","0","0","0","0.045","0","0","0.051","0","0.143","0","0","0","0.027","0","0.011","0.188","0","0","0.002","0","0","0","0","0","0","0","0.056","0.034","0.011","0.024","0.011","0","0.865","0.011","0.012","0.011","0.011","0.011","0.503","0.066","0.658","0.301","0.098","0","0.612","0.591","0.011","0.011","0.014","0.012","0.012","0.011","0.011","0.011","0.011","0.011","0.031","0.011","0.236","0.171","0.011","0.011","0.011","0.011","0.011","0.011","0.011","0.011","0.011","0.166","0.644","0.668","0.788","0.666","0.267","0.407","0.866","0.011","0.712","0.478","0","0.677","0.506","0.739","0.928","0.473","0.959","0.801","0.674","0.578","0.768","0.817","1","0.983","0.92","0.711","0.806","0.695","0.919","0.414","0","0.428","0.677","0.612","0.604","0.216","0.114","0.673","0.043","0","0.001","0.023","0","0","0","0","0.004","0","0","0.122","0.003","0","0.007","0","0","0","0","0","0","0.001","0","0","0.011","0","0.048","0.534","0.7","0.727","0.475","0","0.258","0.011","0.011","0.011","0","0","0.001","0","0.662","0.772","0.011","0.025","0","0","0.002","0.011","0.011","0.011","0.011","0.011","0.011","0.011","0.011","0.011","0.011","0","0.011","0.011","0.011","0.011","0.011","0.011","0.011","0.011","0.011","0.019","0","0","0.011","0.011","0.011","0.011","0.011","0.011","0.011","0.011","0.011","0.011","0.011","0.011","0.011","0.011","0.011","0.011","0.011"
"NA 5628","0","0","0","0","0","0","0","0","0","0","0","0.008","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.04","0","0","0","0","0","0","0.036","0","0","0.04","0.009","0.071","0.051","0","0.039","0.095","0","0.176","0","0.017","0","0.143","0","0","0.077","0.018","0.027","0","0","0","0","0","0","0.045","0","0","0.167","0","0","0","0.045","0","0","0.051","0","0.143","0","0","0","0.016","0","0","0.188","0","0","0.002","0","0","0","0","0","0","0","0.056","0.034","0","0.013","0","0","0.882","0","0.001","0","0","0","0.492","0.055","0.665","0.301","0.087","0","0.629","0.591","0","0","0.003","0.001","0.001","0","0.001","0","0","0","0.021","0","0.23","0.171","0","0","0","0","0","0","0","0","0","0.166","0.661","0.668","0.777","0.648","0.265","0.397","0.866","0","0.712","0.478","0","0.667","0.506","0.731","0.922","0.467","0.952","0.794","0.664","0.571","0.785","0.811","0.983","1","0.937","0.705","0.799","0.689","0.912","0.407","0","0.428","0.694","0.629","0.597","0.216","0.114","0.673","0.033","0","0","0.023","0","0","0","0","0","0","0","0.12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.041","0.534","0.7","0.744","0.473","0","0.252","0","0","0","0","0","0","0","0.679","0.789","0","0.014","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.008","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Hummingbird House","0","0","0","0","0","0","0","0","0","0","0","0.008","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.04","0","0","0","0","0","0","0.036","0","0","0.04","0.009","0.071","0.051","0","0.039","0.095","0","0.176","0","0.017","0","0.143","0","0","0.077","0.018","0.027","0","0","0","0","0","0","0.045","0","0","0.167","0","0","0","0.045","0","0","0.051","0","0.143","0","0","0","0.016","0","0","0.188","0","0","0.002","0","0","0","0","0","0","0","0.056","0.034","0","0.013","0","0","0.944","0","0.001","0","0","0","0.492","0.055","0.669","0.301","0.087","0","0.635","0.591","0","0","0.003","0.001","0.001","0","0.001","0","0","0","0.021","0","0.23","0.171","0","0","0","0","0","0","0","0","0","0.166","0.724","0.668","0.777","0.585","0.265","0.397","0.835","0","0.712","0.478","0","0.667","0.506","0.667","0.859","0.404","0.889","0.731","0.664","0.508","0.848","0.748","0.92","0.937","1","0.642","0.736","0.626","0.849","0.344","0","0.428","0.757","0.692","0.534","0.216","0.114","0.673","0.033","0","0","0.023","0","0","0","0","0","0","0","0.12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.041","0.534","0.7","0.808","0.473","0","0.252","0","0","0","0","0","0","0","0.742","0.853","0","0.014","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.008","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
